date,source_type,page,city,campaign_id,group_id,ad_id,keyword_id,calls
2/21/20,referral,/vxodnaya-v-kvartiru-grafit-so,Москва,,,,,1
2/22/20,direct,/model-12s,Москва,,,,,1
2/22/20,organic,/,,,,,,1
2/22/20,organic,/,Москва,,,,,1
2/22/20,organic,/dver-3-klassa-zashhityi-serti,Москва,,,,,1
2/22/20,organic,/dveri-s-termorazryivom/,Москва,,,,,1
2/22/20,organic,/dveri-so-skidkoj/,Жуковский,,,,,1
2/22/20,organic,/nemeckij-uplotnitel,Москва,,,,,1
2/22/20,organic,/paradnye-dver/,Грозный,,,,,1
2/22/20,organic,/s-shumoizolyacziej/,Калуга,,,,,1
2/22/20,organic,/s-shumoizolyacziej/,Москва,,,,,1
2/22/20,organic,/ulichnyie-dveri/,Санкт-Петербург,,,,,1
2/22/20,organic,/v-kassu/,Санкт-Петербург,,,,,1
2/22/20,organic,/vorota-v-transformatornuyu,Новомосковск,,,,,1
2/22/20,paid,/arochnye-dveri/,Москва,1194086,153787378,369955377,513993826,1
2/22/20,paid,/ekonom-klassa/,Москва,1370731,171187473,416106523,584734245,1
2/22/20,paid,/s-zerkalom/,Москва,1370731,171187445,416106543,584734323,1
2/22/20,paid,/s-zerkalom/,Москва,1370731,171187463,416330305,584734207,1
2/22/20,paid,/v-kotelnuyu/,Москва,1194088,153787214,369955533,513993629,1
2/23/20,direct,/,Москва,,,,,1
2/23/20,direct,/model-19s,Екатеринбург,,,,,2
2/23/20,direct,/variantyi-frezerovki,,,,,,1
2/23/20,organic,/,,,,,,1
2/23/20,organic,/,Казань,,,,,1
2/23/20,organic,/,Москва,,,,,1
2/23/20,organic,/dveri-s-termorazryivom/,,,,,,1
2/23/20,organic,/dveri-so-skidkoj/,Москва,,,,,1
2/23/20,organic,/dveri-uteplennye/,Москва,,,,,1
2/23/20,organic,/italyanskij-zamok-vreznoj-sec,Новосибирск,,,,,1
2/23/20,organic,/s-shumoizolyacziej/,Ивантеевка,,,,,1
2/23/20,organic,/s-shumoizolyacziej/,Москва,,,,,2
2/23/20,organic,"/stavni-okonnyie,-zashhitnyie-",,,,,,1
2/23/20,organic,"/stukalka-dvernaya-(latun,-xro",Якутск,,,,,1
2/23/20,organic,/vxodnaya-dver-model-oazis,Тайшет,,,,,1
2/23/20,paid,/s-zerkalom/,Москва,1370731,171187459,416330301,584734203,1
2/23/20,paid,/s-zerkalom/,Москва,1370731,171187471,416106521,584734243,1
